Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Evanston Twp QH,La Salle TW,Nathan Fleming,AFF,29,29
Chaminade  DB,Strake Jesuit  JP,Raul Larsen,NEG,29,29
Needham ZL,Hill NL,Spencer Orlowski,NEG,30,30
Ft Lauderdale EP,Vestavia Hills JH,Jared Croitoru,AFF,30,26
Lexington SG,Durham BD,Rodrigo Paramo,NEG,29,29
Newark Science SB,Quarry Lane MD,Sarah Roberts,AFF,29,28
Needham SC,Quarry Lane MS,Henry Curtis,NEG,29,29
Morrison KC,Colleyville Heritage AB,SunHee Simon,AFF,29,28
Cypress Bay HL,Woodrow Wilson CO,Anthony Berryhill,NEG,27,28
Harrison GC,Newark Science TO,Marna Weston,NEG,30,30
William G. Enloe TG,Holy Cross TJ,Brent Huang,AFF,30,28
Henry W Grady GR,Charlotte Catholic DE,Brent Huang,NEG,29,30
Edgemont RG,Santa Monica RE,Bennett Eckert,AFF,30,30
William G. Enloe AC,Northland Christian ABr,Sarah London,NEG,29,29
Oak Grove LL,Woodrow Wilson TM,Pamela Childress,NEG,27,28
West Des Moines Valley CF,North Allegheny ED,,"AFF BYE																									NEG FFT","AFF BYE																									NEG FFT",
Lassiter TR,Calhoun AD,Sunil Gedela,AFF,29,29
Strake Jesuit  ZD,Dougherty Valley KK,Chris Flowers,AFF,30,30
Northland Christian AB,Northview YS,Jonas Le Barillec,AFF,29,28
Harrison AZ,New Trier IV,Ari Davidson,NEG,29,29
NSU SF,American Heritage Plantation AD,SunHee Simon,AFF,29,29
New Trier CS,Bronx Science AW,Niko Battle,NEG,30,25
DuPont Manual PK,Success Academy Manhattan SB,Sam Houle,NEG,29,29
Harvard-Westlake SM,Southlake Carroll PK,Nathan Fleming,NEG,29,29
Dougherty Valley KD,Lexington EL,Greg Zoda,NEG,29,29
King AK,Oak Hall KZ,Daniel Shatzkin,NEG,30,30
Valdosta JP,Montgomery TD,Marty Pimentel,NEG,28,29
Tompkins CW,Unionville KL,Anthony Berryhill,NEG,28,28
Dulles NJ,Seven Lakes RR,Rodrigo Paramo,AFF,29,29
Stuyvesant GP,William G. Enloe KH,Sarah Roberts,AFF,28,28
Success Academy Manhattan TR,Southlake Carroll TR,Tom Evnen,AFF,30,30
American Heritage Plantation EM,Lake Highland Prep JD,Rohith Sudhakar,AFF,30,29
Shades Valley FO,Vestavia Hills RC,Donna Yeager,NEG,28,29
Cypress Bay GB,Montgomery CD,Jonas Le Barillec,AFF,29,28
Quarry Lane ZD,Strake Jesuit  AM,Brianna Aaron,NEG,29,29
American Heritage Boca/Delray DM,Palm Harbor KG,Roopa Patel,AFF,28,26
American Heritage Boca/Delray NT,Pembroke Pines Charter JD,Tom Evnen,AFF,29,29
Brophy  CT,Stuyvesant SP,Niko Battle,NEG,29,30
Westlake EE,Henry W Grady AS,Jacob Nails,AFF,30,28
Holy Cross ND,Isidore Newman LE,Lynnea Zhang,NEG,29,29
Unionville DJ,Morrison EC,Clark Foster,NEG,30,30
Carmel Valley Independent JS,H.B. Plant TK,Ari Davidson,NEG,29,29
West Des Moines Valley CG,DuPont Manual RP,Jonathan Alston,NEG,28,28
Harvard-Westlake AM,University MW,Jared Croitoru,NEG,29,30
New Trier TS,West Des Moines Valley AA,Indu Pandey,AFF,28,28
Durham JP,Trinity Valley KK,John Zeng,AFF,27,25
Baton Rouge PF,North Allegheny AD,Marna Weston,AFF,29,29
Grapevine NM,Little Rock Central JP,Brian Wiora,NEG,28,29
Harker SG,Poly Prep Country Day DB,Henry Curtis,NEG,28,28
Baton Rouge CH,American Heritage Plantation PB,David McGinnis,NEG,28,29
Pembroke Pines Charter MC,Lexington KY,Rohith Sudhakar,NEG,29,29
Henry W Grady EH,Madison Central SS,Jonathan Waters,NEG,27,27
Evanston Twp HE,Cardinal Gibbons AD,Spencer Orlowski,AFF,29,28
Providence AK,Oak Grove NW,Stella Yu,NEG,30,30
Strath Haven WL,Grapevine TT,Jacob Nails,NEG,29,29
Lake Highland Prep JA,Los Altos PD,Chris Flowers,NEG,29,29
Cardinal Gibbons RS,Isidore Newman DA,Jonathan Alston,NEG,28,29
Greenhill KD,Harker SS,Chris Theis,NEG,29,29
Cardinal Gibbons ZD,Sage MP,Clark Foster,NEG,29,29
Valdosta AK,Dulles AS,Dino De La O,NEG,29,29
Dulles SZ,Harvard-Westlake SK,Brianna Aaron,NEG,29,29
Lake Highland Prep AM,Greenhill AZ,Chris Castillo,NEG,29,29
Auburn MF,Mountain Brook MC,Claudia Ribera,NEG,28,28
North Mecklenburg PM,Garland IR,Ethan Massa,NEG,28,29
La Salle AS,Bronx Science NK,Marty Pimentel,AFF,28,28
Houston County TH,Ft Lauderdale ST,Pamela Childress,NEG,28,28
Northland Christian JQ,Northview SD,Bennett Eckert,AFF,28,28
