Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Needham VF,William G. Enloe KH,Alexandra Mork,AFF,28,24
West Des Moines Valley CF,Strake Jesuit  BE,Jenn Melin,NEG,29,30
NSU SF,Pembroke Pines Charter JD,Connor Lindquist,AFF,29,29
Memorial SC,Bergen County Academies MS,Annie (Bronx) Wang,NEG,29,29
Unionville DJ,Harrison AA,Kevin Cheng,AFF,29,29
Isidore Newman AH,Lexington JC,Michael Harris,AFF,29,29
Acton-Boxborough BH,Scarsdale JT,Arthur Wayne,NEG,29,29
Bronx Science IP,Unionville MP,Nicky Smith,NEG,29,29
Byram Hills ES,Unionville SN,Steve George,AFF,28,28
Strake Jesuit  ZD,Dowling Catholic JP,Claudia Ribera,AFF,29,29
North Allegheny NS,Advanced Technologies AA,Mike Girouard,NEG,28,29
Peninsula RM,Harrison RA,Blake Ziegler,NEG,29,30
Lexington JB,Carnegie Vanguard JQ,Jugal Amodwala,AFF,28,28
Walt Whitman BW,Iowa City West NW,John Choi,AFF,29,29
Stoneman Douglas AR,Nova DJ,Valentina Sarmiento,AFF,29,29
Lake Highland Prep DP,Saratoga IK,Chris Castillo,AFF,28,28
Needham AK,McDowell SA,Radhika Verma,NEG,28,29
Byram Hills MW,Cary Acad CP,Sarah Xu,AFF,29,29
Princeton ML,American Heritage Plantation EM,Favian Sun,NEG,29,29
Charlotte Latin EL,Carnegie Vanguard SR,Nathan Davis,NEG,28,29
Strake Jesuit  JG,American Heritage Plantation NR,Alan George,AFF,29,29
Catonsville AT,King AT,Jordan April,AFF,28,28
Memorial DX,Mission San Jose SR,Kyle Kopf,NEG,29,29
Lexington BF,Flintridge Prep AL,Tarun Ratnasabapathy,AFF,29,29
Park City CMc,Northview YS,Spencer Orlowski,NEG,28,29
Milton AT,BASIS Phoenix ZJ,Maxine Adams,NEG,28,29
Lake Highland Prep AM,Westwood AR,Aidin O'Brien,AFF,30,29
Brentwood HTa,Walt Whitman HW,,"AFF FFT																									NEG BYE","AFF FFT																									NEG BYE",
Edgemont Junior-Senior AA,American Heritage Plantation MCh,Nate Kruger,NEG,28,29
McDowell AG,Success Academy HS - Liberal Arts SB,Kristen Arnold,AFF,30,29
Northland Christian LB,Westwood PM,David Yi,NEG,30,30
American Heritage Boca/Delray NT,L C Anderson BC,Mark Kivimaki,NEG,29,29
Stuyvesant LC,New Trier CS,Samita Rahaman,AFF,28,28
Coppell SG,Garland LY,Heaven Montague,NEG,29,30
Stuyvesant MZ,American Heritage Boca/Delray NS,Andrew Lee,NEG,29,29
La Salle ZW,Hunter MD,Truman Le,NEG,28,28
Westlake AK,Rosemount CD,Kumail Zaidi,AFF,28,28
Lake Highland Prep YA,North Allegheny BL,Ishan Rereddy,AFF,29,28
Scarsdale CC,Lexington DYi,Jason Smith,AFF,30,29
Montville SK,James Logan AS,Sunny Chung,NEG,30,30
Westlake FD,George Washington KK,Hunter Harwood,AFF,29,29
Stoneman Douglas GP,Park City NLe,Elise Matton,AFF,29,29
Pembroke Pines Charter AV,King CP,Katherine Bleth,AFF,28,28
Brentwood SR,Legacy Christian BP,Joshua Herrera,NEG,29,29
Cary Acad NS,James Logan AG,Taesik Han,AFF,29,28
BASIS Peoria AA,Lake Highland Prep AV,SunHee Simon,NEG,28,28
L C Anderson AR,Princeton VC,Vishvak Bandi,AFF,29,29
Harrison GC,Kennedy KR,Preetham Chippada,AFF,29,28
Millburn HR,Dulles TY,James Stuckert,NEG,29,29
Peachtree Ridge RL,Northview SD,Aashir Sanjrani,NEG,30,30
Unionville PW,William G. Enloe AX,Akshana Dassanaike,NEG,29,29
George Washington KJ,Cardinal Gibbons AD,Jayanne Forrest,NEG,29,29
American Heritage Plantation SS,Dulles NJ,Michael Landau,AFF,29,29
James Logan CL,Montville NP,Will Aarons,AFF,29,29
Memorial BD,Mission San Jose AB,,"AFF BYE																									NEG FFT","AFF BYE																									NEG FFT",
Freehold Township SA,Albuquerque LN,Vinay Maruri,NEG,29,29
Montville AP,Strake Jesuit  DH,River Cook,AFF,29,29
Providence KB,Plano West TS,Shipra Garg,NEG,28,28
Plano East NG,Princeton RL,wyatt hatfield,NEG,28,29
Albuquerque AK,North Allegheny RR,Maryanne Pasiewicz,NEG,29,29
Hunter AI,Rosemount TA,Matilda Stricherz,AFF,28,28
Bronx Science NS,Iowa City West MG,Sarah Botsch-McGuinn,NEG,29,29
Millburn AX,Northview CP,Amanda Yang,AFF,29,28
James Logan ZW,Walt Whitman CB,Cort Sylvester,NEG,28,28
Byram Hills EW,Northview NN,Derek Chisum,AFF,29,27
Flintridge Prep TV,Saratoga AGa,Arik Mendelevitz,AFF,30,30
Harrison MB,St Michael Albertville CS,Micah Thode,NEG,29,30
Lindale PP,West Des Moines Valley TH,Tony Jha,AFF,29,29
Peninsula SM,North Allegheny ED,Rishi Mukherjee,NEG,29,29
Strake Jesuit  JX,Princeton TK,Immanuel Victor,AFF,29,29
Brookfield East DJ,Eden Prairie AG,,"AFF FFT																									NEG BYE","AFF FFT																									NEG BYE",
