Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Loyola LH,Harker ALe,Khoa Pham,AFF,28,29
Dougherty Valley AG,Northwood NA,Lindsey Williams,NEG,29,29
Harker RM,Peninsula JN,Ben Barov,NEG,28,28
Presentation AG,Marlborough ML,Rodrigo Paramo,AFF,29,29
Harker PG,Chaminade  DV,Didi Barry,AFF,29,29
Valley International Prep AC,Quarry Lane MS,Dana Chen,NEG,28,29
Harker SS,Dougherty Valley AGo,Julian Kuffour,NEG,29,30
Harvard-Westlake AL,Lynbrook YM,Maanik Chotalla,NEG,30,30
Torrey Pines LL,Harker RT,Sarah Kim,NEG,28,29
Dougherty Valley SB,Isidore Newman DA,Lindsey Williams,AFF,29,29
St Francis KN,Cypress Bay PS,Maanik Chotalla,NEG,29,29
Immaculate Heart FP,Dougherty Valley AM,Alex Zhao,AFF,29,28
Cypress Bay NB,Albuquerque LN,Jack Coyle,AFF,28,28
Cypress Bay HL,Brentwood SH,Maya Sanghavi,AFF,28,27
Harvard-Westlake IM,Northland Christian EN,Sarah Roberts,NEG,28,29
Peninsula CC,St Francis LC,Gabriel Gangoso,NEG,28,28
St Francis AB,Fort Collins AL,Nicole Dao,AFF,30,29
Marlborough AW,Peninsula ID,Annabelle Long,NEG,28,28
Dougherty Valley AMa,Brentwood LE,Shivane Sabharwal,AFF,28,29
Archbishop Mitty JP,Harvard-Westlake NR,Serena Lu,AFF,30,30
Segerstrom AN,Harvard-Westlake SK,Manav Rathod,NEG,28,28
Loyola BC,Archer School for Girls JT,Nick Coburn-Palo,NEG,29,29
Cypress Bay OBr,Harker DV,Courtney Coffman,NEG,28,28
