Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Immaculate Heart ZB,Plano East WZ,,"AFF BYE																									NEG BYE","AFF BYE																									NEG BYE",
Menlo-Atherton SC,Golden State AW,Jacob Lugo,AFF,28,28
Denver East TH,Saratoga HH,Nicole Dao,AFF,29,28
La Costa Canyon EN,Fairview JZ,Arun Thaploo,AFF,28,28
Mountain House ES,Beckman CK,Mike Murray,NEG,28,28
Harvard-Westlake AM,Harker MH,Erik Legried,AFF,30,29
Silver Creek RN,Harvard-Westlake LD,Addie Wilson,AFF,28,28
Harker AM,ModernBrain GM,Didi Barry,AFF,29,29
Harvard-Westlake SL,Quarry Lane MD,Lawrence Zhou,NEG,28,28
Anderson MR,Harker AG,Ansuman Bardalai,AFF,28,28
Harvard-Westlake JH,Cypress Bay IM,Ellen Ivens-Duran,NEG,28,29
Harvard-Westlake CC,Newark Science VA,Jacob Lugo,NEG,29,29
Lincoln AW,Loyola JC,Addie Wilson,NEG,29,29
Nova 42 AY,Golden State SS,Jorge Solorzano,AFF,30,29
Marlborough JH,Lynbrook ZU,Jyleesa Hampton,AFF,28,28
Loyola BM,Marlborough AK,Indu Pandey,AFF,28,28
Lynbrook AM,Harvard-Westlake JZ,Viren Abhyankar,NEG,28,29
Beaver AM,Beckman VS,Noel Hayward,AFF,28,28
Mountain House IV,Albuquerque SR,Jimi Morales,NEG,29,29
Lynbrook KA,Cypress Bay GB,Vinay Maruri,NEG,29,30
Mira Loma AT,Dougherty Valley AP,Shivane Sabharwal,NEG,28,28
BASIS San Antonio Shavano PK,Milpitas AK,Lena Mizrahi,AFF,29,28
Immaculate Heart SO,Harker KM,Sarah Kim,NEG,28,29
Nova 42 AM,Buhach Colony MG,Jake Keuhlen,AFF,27,24
Orange Lutheran AZ,Brophy  CT,Nina Potischman,AFF,29,29
Palo Alto HS Independent EH,Dougherty Valley SN,Nina Potischman,AFF,29,29
Harker AC,Harvard-Westlake JIm,Jack Wareham,AFF,28,28
Harvard-Westlake AW,Immaculate Heart RR,selena zhang,NEG,28,28
Loyola SN,Sage MP,Owen Sleigh,NEG,30,30
Harker MK,Immaculate Heart BC,Ben Barov,NEG,28,29
Dougherty Valley KD,Harker DS,Dana Chen,NEG,29,29
Brentwood MM,Harvard-Westlake OF,Lena Mizrahi,NEG,28,29
Lynbrook AJ,Marlborough WR,Nick Coburn-Palo,AFF,28,28
Clovis North CH,Foothill BF,Nathaniel Clutter,AFF,28,25
Menlo-Atherton SN,Flintridge Prep AL,Jack Coyle,AFF,29,28
Harker KB,Brophy  SA,Ansuman Bardalai,AFF,28,28
Anderson AR,Isidore Newman JH,SunHee Simon,AFF,29,29
Oakwood School - North Hollywood MC,Peninsula VB,Tristan Shaughnessy,AFF,29,28
Harvard-Westlake JG,Archbishop Mitty JH,Rodrigo Paramo,AFF,29,29
Ferris TR,Harker NA,Nick Montecalvo,AFF,30,28
Northland Christian LB,Ferris ML,Drew Sherman,AFF,29,28
Harvard-Westlake SM,Fairview DL,Kemi Omoregie,AFF,29,28
Coeur D'Alene CB,Archbishop Mitty PK,Nick Montecalvo,NEG,30,30
Brentwood HG,Fairview HW,Manveer Singh,AFF,28,25
Brentwood HT,Northland Christian ABr,Khamani Griffin,NEG,29,29
Fort Collins MR,St Francis SS,Kemi Omoregie,AFF,29,28
Dougherty Valley AR,Beckman BC,Erik Legried,AFF,29,29
St Francis MG,Langham Creek IM,Jonathan Vu,AFF,27,27
Peninsula OL,Loyola DB,Tristan Shaughnessy,NEG,28,29
Brentwood RY,Harvard-Westlake BC,selena zhang,AFF,28,28
Lynbrook AD,Torrey Pines AG,Alan Fishman,AFF,30,30
Presentation NB,Harvard-Westlake GM,SunHee Simon,AFF,28,28
Davis Senior CZ,Lynbrook KD,Hanna Griffin,NEG,27,28
Brophy  BF,Lynbrook RP,Lisa Weber,AFF,30,29
Immaculate Heart MM,Saratoga IK,Rishabh Krishnan,AFF,29,29
Southlake Carroll TR,St Francis AJ,Vinay Maruri,AFF,29,28
Silver Creek VV,Newark Science TO,Shankar Krishnan,NEG,29,30
Immaculate Heart LB,BASIS Phoenix ZJ,Michael Harris,NEG,28,29
Dougherty Valley ST,Immaculate Heart JL,Andrew Overing,NEG,28,29
Nova 42 NC,Torrey Pines JS,Gabriel Gangoso,NEG,28,28
Brentwood JK,Carter KM,Jimi Morales,NEG,26,29
Harvard-Westlake SW,Peninsula RM,Akash Rathod,NEG,28,28
Crescenta Valley AT,Dougherty Valley KK,Sean Fahey,AFF,29,29
Harvard-Westlake AG,Presentation MS,Akash Rathod,AFF,29,29
Sanger MP,Lynbrook AH,Brandon Schellhaass,NEG,29,29
Northland Christian JQ,Los Altos PD,Jack Wareham,NEG,29,30
Northland Christian AB,Oakwood AR,Drew Sherman,AFF,29,28
NSU SF,Archbishop Mitty LK,Shankar Krishnan,NEG,30,30
Dougherty Valley SK,Cherry Creek SZ,Muhammad Khattak,AFF,28,28
Saratoga AG,Harker AS,Julian Kuffour,NEG,29,30
Quarry Lane ZD,Anderson BC,Joshua Chung,NEG,29,30
ModernBrain ML,St Francis SCh,Maya Sanghavi,AFF,27,27
Marlborough ED,La Costa Canyon KK,Andrew Overing,AFF,28,28
Dougherty Valley SP,Brentwood DL,Khoa Pham,NEG,29,29
Archbishop Mitty AS,Harvard-Westlake JI,Madeleine Conrad-Mogin,NEG,29,29
Sequoia AS,Harvard-Westlake IC,Annabelle Long,AFF,29,29
St Francis VS,Yerba Buena JG,Noel Hayward,NEG,28,30
St Francis MR,Lynbrook AI,Arun Thaploo,NEG,28,28
Loyola AP,Marlborough EY,Alex Zhao,AFF,28,28
Presentation HM,Loyola NT,Ellen Ivens-Duran,NEG,29,29
Harker AK,Lincoln WG,Charles Karcher,NEG,28,28
Bellarmine  EG,Southlake Carroll PK,Vishan Chaudhary,AFF,29,29
Archbishop Mitty JL,Santa Monica RE,Sean Fahey,NEG,29,29
Harker NL,Saratoga UK,Madeleine Conrad-Mogin,NEG,28,28
Marlborough CL,Harvard-Westlake GZ,Jyleesa Hampton,NEG,29,30
Kinkaid KG,St Francis AX,David Escobar,AFF,28,28
Dougherty Valley NB,Peninsula HC,Viren Abhyankar,AFF,28,28
Valley International Prep MA,Oak Hall KZ,David Escobar,NEG,29,29
St Francis AF,Mountain House SB,Jorge Solorzano,AFF,30,27
Harker AD,Harvard-Westlake HM,Amanda Yang,AFF,28,28
Foothill RW,Milpitas DY,Anusha Thotakura,NEG,28,28
Cristo Rey MD,Golden State KM,Jonathan Vu,NEG,27,27
Silver Creek KZ,Bellarmine  KS,Elise Matton,NEG,28,29
Presentation IC,Dougherty Valley PC,Alan Fishman,NEG,30,30
Harker AL,Bishop's Independent AC,Amanda Yang,AFF,28,28
Northwood HS,Newark Science CS,Sarah Roberts,AFF,28,29
Harvard-Westlake MP,Newark Science SB,Manav Rathod,NEG,29,29
Damien ND,Marlborough JS,Lawrence Zhou,NEG,29,29
North Star IT,Golden State EC,Claudia Ribera,AFF,29,25
Mission San Jose AB,Fort Collins ZG,,"AFF FFT																									NEG BYE","AFF FFT																									NEG BYE",
Kinkaid SM,Peninsula AR,Spencer Paul,NEG,28,28
Fairview EH,St Francis TG,Greg Hansen,AFF,30,29
Harker SC,Westlake EE,Owen Sleigh,NEG,29,30
Milpitas RP,Lynbrook SY,Anusha Thotakura,AFF,29,28
Oakwood School - North Hollywood WA,Oakwood BM,Nathaniel Clutter,AFF,28,28
Brentwood JC,Harker AR,Courtney Coffman,NEG,28,29
Presentation RD,Grand County TM,Lisa Weber,NEG,30,30
Raisbeck Aviation DR,Plano East NG,Rishabh Krishnan,NEG,29,30
Brentwood SR,Harker KMa,Charles Karcher,NEG,28,28
Torrey Pines NK,Mission San Jose SS,,"AFF BYE																									NEG FFT","AFF BYE																									NEG FFT",
