Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Legacy Christian BP,Success Academy HS - Liberal Arts SB,Kyle Kopf,AFF,29,29
Dulles AS,Desert Vista RC,Tyler Wood,AFF,29,27
BASIS Phoenix GV,American Heritage Plantation MCh,Ryan Conn,NEG,28,29
BASIS Peoria AA,James Logan ZW,Chetan Hertzig,AFF,28,28
Lexington AK,NSU SF,Jason Smith,NEG,28,29
Freehold Township SA,McDowell SZ,Rodrigo Paramo,AFF,29,28
George Washington KK,Rosemount TA,Sunny Chung,AFF,28,28
Saratoga AGa,La Salle MQ,River Cook,NEG,29,29
Lexington JC,Unionville DJ,Alexandra Mork,NEG,28,28
Dulles VN,St Michael Albertville CS,Hunter Harwood,NEG,29,30
Unionville SN,American Heritage Plantation SS,Elise Matton,NEG,28,29
Pembroke Pines Charter AV,University AAl,Shipra Garg,NEG,28,29
Peninsula AR,Hunter MD,Ishan Rereddy,AFF,29,29
Lake Highland Prep DP,Needham VF,Aidin O'Brien,NEG,28,30
West Des Moines Valley TH,Stoneman Douglas GP,,"AFF BYE																									NEG FFT","AFF BYE																									NEG FFT",
Lexington DYi,Elkins AM,Jugal Amodwala,AFF,27,27
Dulles TY,Flintridge Prep TV,Tarun Ratnasabapathy,AFF,29,28
Northview SD,Edgemont Junior-Senior AA,Favian Sun,AFF,29,29
L C Anderson BC,Scarsdale JT,John Choi,AFF,29,28
Cary Acad NS,American Heritage Plantation EM,Scott Wheeler,NEG,28,29
Memorial DX,Iowa City West NW,Tony Jha,AFF,29,29
Lexington NJ,Stuyvesant MZ,Devin Hernandez,NEG,29,29
Mission San Jose SR,Saratoga IK,Andrew Lee,AFF,29,28
Harrison RA,Loyola Blakefield TM,Simone Braithwaite,AFF,29,29
Montville AP,Strake Jesuit  JG,Luke Gastelu,NEG,29,30
King AT,Brentwood SR,Nehal Chigurupati,NEG,29,30
Strake Jesuit  BE,Bronx Science IP,Amanda Yang,AFF,30,28
Flintridge Prep AL,Hunter AI,Mark Kivimaki,AFF,28,28
Harrison MB,Pittsburgh Central Catholic EF,,"AFF BYE																									NEG FFT","AFF BYE																									NEG FFT",
University AP,Eden Prairie AG,Radhika Verma,AFF,29,29
Unionville MP,Catonsville NF,Anthony Berryhill,NEG,28,29
Charlotte Latin EL,West Des Moines Valley CF,Spencer Orlowski,NEG,28,29
Carnegie Vanguard JQ,Plano West DJ,Salem Clemens,NEG,29,29
Roeper RL,Walt Whitman CB,Aditya Iyer,AFF,28,28
Millburn RB,Peninsula SM,Jacob Nails,NEG,28,28
Albuquerque AK,Rosemount CD,Minsig Hwang,AFF,29,28
Montville NP,Harrison AA,Sierra Romero,NEG,28,29
Vestavia Hills GJ,Memorial SC,Micah Thode,NEG,28,29
Rosemount CP,American Heritage Plantation NR,Paul PJ Wexler,NEG,28,28
Carnegie Vanguard SR,Princeton VC,Truman Le,NEG,28,28
Memorial BD,Peachtree Ridge RL,Blake Ziegler,NEG,28,29
Millburn HR,James Logan AG,Dacobi Anderson,AFF,29,28
William G. Enloe KH,King CP,Kedar Pandya,AFF,29,28
Westlake FD,North Allegheny NS,Kevin Cheng,AFF,29,29
Princeton ND,BASIS Phoenix ZJ,Immanuel Victor,NEG,29,29
Sam Barlow EL,Peninsula CC,Joshua Porter,AFF,29,28
Pembroke Pines Charter JD,La Salle ZW,Kumail Zaidi,AFF,28,28
Dulles CS,Byram Hills ES,Elizabeth Lee,AFF,29,29
Harrison SN,L C Anderson AR,Vinay Maruri,AFF,29,28
Millburn AX,Scarsdale ZS,Rishi Mukherjee,NEG,29,30
Unionville PW,Valor Christian LS,Steve George,AFF,29,29
Walt Whitman BW,Park City ES,Eva Lamberson,AFF,30,28
Scarsdale CC,Harvard-Westlake GZ,Joshua Herrera,AFF,30,30
Princeton ML,Milton AT,Michael Landau,AFF,29,29
Northview NN,Southlake Carroll PK,Preetham Chippada,NEG,27,29
Brookfield East DJ,Lexington BF,Cassandra Branson,NEG,28,30
Princeton TK,Lynbrook KD,James Stuckert,AFF,29,28
Lexington JB,North Allegheny RR,Stephen Scopa,NEG,28,29
Coppell SG,Bronx Science NS,Cort Sylvester,AFF,28,28
Cardinal Gibbons ZD,Coppell AM,Jennifer Zheng,AFF,29,28
North Allegheny ED,Stoneman Douglas AR,Maryanne Pasiewicz,AFF,30,30
Nova DJ,Dowling Catholic JP,David Wells,NEG,28,29
Mission San Jose AB,Cary Acad CP,David Yi,AFF,29,28
Seven Lakes MR,Lindale PP,Mitchell Buehler,NEG,28,29
Walt Whitman HW,Lake Highland Prep YA,Michael Harris,NEG,28,29
Plano East NG,James Logan AS,Vishvak Bandi,AFF,29,29
Lake Highland Prep AM,Plano West JG,Chris Castillo,AFF,29,28
Northview YS,American Heritage Plantation PG,Charles Karcher,NEG,29,29
Byram Hills EW,Harrison GC,Samita Rahaman,NEG,28,30
Mission San Jose SS,Cardinal Gibbons AD,Sid Panchanadam,AFF,29,28
Princeton RL,Plano West TS,Alan George,AFF,30,29
Peninsula RM,James Logan CL,Chris Thiele,AFF,29,28
Dulles NJ,Kennedy KR,Nathan Davis,NEG,28,29
Westlake AK,Davidson CH,Mike Girouard,NEG,29,29
McDowell AG,Catonsville AT,Nate Kruger,AFF,29,29
American Heritage Boca/Delray NT,Lynbrook SC,Jack Quisenberry,AFF,29,28
American Heritage Boca/Delray NS,Mission San Jose AA,Calvin Tyler,AFF,28,28
BASIS Peoria PY,Byram Hills MW,Aashir Sanjrani,AFF,29,28
Isidore Newman AH,Acton-Boxborough BH,Joey Tarnowski,NEG,28,28
Northview CP,Garland LY,Connor Lindquist,NEG,28,30
Strath Haven AM,Brentwood HTa,wyatt hatfield,AFF,29,28
Albuquerque LN,Advanced Technologies AA,Carlos Astacio,AFF,30,29
Needham AK,New Trier CS,,"AFF FFT																									NEG BYE","AFF FFT																									NEG BYE",
Strake Jesuit  ZD,McDowell SA,Valentina Sarmiento,AFF,29,28
Westwood PM,Cooper City NR,Jayanne Forrest,AFF,29,29
Bergen County Academies EK,Montville SK,Arthur Wayne,AFF,29,28
Providence KB,Northland Christian LB,Daniel Shatzkin,NEG,28,29
Bergen County Academies AK,Stuyvesant LC,Nicky Smith,AFF,28,28
Peninsula HC,Lake Highland Prep KS,Rex Evans,NEG,28,28
Strake Jesuit  DH,Park City NLe,SunHee Simon,AFF,29,29
Iowa City West MG,Strake Jesuit  JX,Akshana Dassanaike,NEG,29,30
William G. Enloe AX,Park City CMc,Anthony Brown,AFF,29,28
Bergen County Academies MS,North Allegheny BL,Sarah Botsch-McGuinn,AFF,29,29
Westwood BJ,Lake Highland Prep AV,Miguel Harvey,NEG,29,29
Westwood AR,George Washington KJ,Claudia Ribera,AFF,29,28
