Aff,Neg,Judge,Result
Lexington AT,Strake Jesuit  DL,Tate Weston,AFF
Park City NL,Wilcox KM,Bennett Eckert,NEG
Peninsula SM,Harrison AC,Amy Chakladar,NEG
BASIS Peoria PY,Cypress Bay OB,Albert Cardenas,AFF
North Allegheny RR,Scarsdale ZS,Calvin Tyler,NEG
BASIS Peoria AM,Greenhill VX,Claudia Ribera,NEG
Harker DS,Houston Memorial DX,Tom Evnen,AFF
Catonsville AT,Interlake AS,Jason Smith,NEG
Apple Valley NB,Little Rock Central DS,Jacob Nails,AFF
Harvard-Westlake AG,Dowling Catholic JP,Chris Thiele,AFF
Harker AD,Lexington AK,Nick Smith,AFF
Appleton North MU,Lexington DY,Charles Karcher,AFF
Little Rock Central LM,Lake Highland Prep MS,Jada Stinnett,AFF
Bronx Science ES,Marlborough ML,Rex Evans,NEG
Strath Haven AM,Harrison GC,Calvin Tyler,NEG
Presentation RD,Plano West DJ,Sydney Cohen,NEG
Lake Highland Prep AM,McDowell SZ,Braedon Kirkpatrick,NEG
North Allegheny NS,La Salle MQ,Jada Stinnett,NEG
Lake Highland Prep AC,Apple Valley MA,Eric Tang,AFF
Hunter AI,American Heritage Boca/Delray DM,Lindsey Perlman,AFF
American Heritage Plantation NR,Mission San Jose SS,David Yi,NEG
Lake Highland Prep PS,Peninsula RM,Jack Quisenberry,NEG
Mission San Jose SR,Dougherty Valley SK,Aniruth Narayanan,AFF
Harker AS,Lexington AL,Tom Evnen,NEG
Eagan AI,Strake Jesuit  VM,Muhammad Khattak,NEG
St Francis KC,Durham SS,Bharathi Rajan,AFF
St Michael Albertville CS,Harrison AA,Hunter Harwood,AFF
Southlake Carroll PK,Mission San Jose AB,Chris Wang,NEG
Plano East NGo,Marlborough WR,Alexandra Mork,NEG
New Trier CS,Lynbrook KD,Kristen Arnold,NEG
Bettendorf NR,BASIS Peoria VP,Derek Chisum,AFF
Edina MK,McDowell AG,Peyton Reeves,NEG
Archbishop Mitty AA,Flintridge Prep TV,Nae Edwards,AFF
Vestavia Hills GJ,Harrison EM,River Cook,AFF
Houston Memorial BD,Minnetonka MW,Kristen Arnold,AFF
Lexington AG,Apple Valley JS,Joseph Barquin,AFF
Hunter MD,Princeton TK,Stephen Scopa,NEG
Marlborough ED,Archbishop Mitty AS,Rex Evans,NEG
Interlake EL,Houston Memorial YB,,"AFF BYE																									NEG FFT"
Westlake FD,Cypress Bay PS,Lindsey Perlman,AFF
Iowa City West HM,Immaculate Heart FP,Eric Tang,NEG
Edina LH,BASIS Peoria DS,Martin Csongradi,AFF
West Des Moines Valley MM,Charlotte Latin VD,Sam Anderson,AFF
Iowa City West NW,Chanhassen AN,Trent Gilbert,AFF
Interlake AG,Ardrey Kell SR,Michael O'Krent,AFF
Dougherty Valley TM,Southlake Carroll SD,Danielle Dosch,AFF
Flintridge Prep MC,Immaculate Heart AW,Patrick Tolan,NEG
Greenhill RM,Harvard-Westlake GZ,Chris Thiele,NEG
Greenhill VG,Harker AR,Evan Engel,NEG
American Heritage Plantation MA,BASIS Phoenix ZJ,Christian Hilgemann,NEG
West HS SLC HZ,Albuquerque LN,Mark Ahlstrom,NEG
Interlake TY,Bronx Science LM,Jerome Nashed,NEG
American Heritage Plantation SS,McNeil AG,Sesh Joe,AFF
Strake Jesuit  DH,Northview SD,Sesh Joe,NEG
Iowa City West JS,West Des Moines Valley SJ,Ryan Conn,AFF
West HS SLC TC,Summit JC,,"AFF BYE																									NEG FFT"
Presentation NR,Ardrey Kell GS,jackson hanna,NEG
Lake Highland Prep AV,Immaculate Heart JL,Chris Wang,AFF
Harvard-Westlake JH,West Des Moines Valley CF,Jonathan Horowitz,NEG
Lynbrook AH,Evanston Twp SB,David Yi,AFF
Strake Jesuit  JG,Harrison RA,Tajaih Robinson,NEG
Mission San Jose AA,Vestavia Hills RB,Patrick Fox,AFF
Marlborough JH,Dougherty Valley KZ,Bennett Eckert,AFF
Lexington JC,Presentation MS,Alexandra Mork,NEG
Milton AT,Immaculate Heart RR,Jamie Davenport,AFF
Greenhill AA,NSU SF,Charles Karcher,NEG
Albuquerque AK,Southlake Carroll AS,Nae Edwards,AFF
Harker RM,Houston Memorial SC,Jacob Palmer,NEG
Lindale PP,Westlake AK,John Choi,AFF
Archbishop Mitty AB,North Mecklenburg PM,Patrick Fox,NEG
Harker AM,Strake Jesuit  ZD,Lawson Hudson,AFF
Minnetonka SW,McDowell SA,Alison Manaker,AFF
Harvard-Westlake IC,Claudia Taylor Johnson AP,Nelson Okunlola,NEG
West HS SLC AK,Immaculate Heart SS,Jamie Davenport,AFF
Northview NN,Dougherty Valley NY,kirtan patel,AFF
Sage Hill MP,Greenhill KD,Vishan Chaudhary,NEG
STA/Vis IB,BASIS Phoenix GV,Mia Berman,NEG
Westlake EA,Interlake DB,Jaya Dayal,NEG
Riverside KS,Interlake HB,kirtan patel,NEG
West Des Moines Valley KC,Durham AAn,Joe Rankin,NEG
Scarsdale AK,West Des Moines Valley AM,Muhammad Khattak,NEG
Dougherty Valley KK,Quarry Lane MD,Jack Quisenberry,AFF
American Heritage Plantation MC,Acton-Boxborough BH,Christian Hilgemann,NEG
Dougherty Valley DC,Southlake Carroll CC,Peyton Reeves,AFF
American Heritage Plantation EM,Strake Jesuit  BE,Aniruth Narayanan,AFF
Greenhill NT,Nashua HS South EG,Michael O'Krent,NEG
Houston Memorial KX,Albuquerque NP,Nelson Okunlola,NEG
Marlborough JS,Northview YS,Kartikeya Kotamraju,AFF
Scarsdale OL,Peninsula AR,Joanne Park,NEG
Bronx Science NK,Presentation NB,Spencer Orlowski,NEG
