Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Strake Jesuit  AM,Success Academy Manhattan TR,Henry Curtis,NEG,29,30
Greenhill AZ,Harrison AZ,Claudia Ribera,AFF,29,29
Isidore Newman DA,Brophy  CT,Ari Davidson,NEG,29,29
Harker SS,Westlake EE,Bennett Eckert,AFF,29,28
American Heritage Plantation PB,Holy Cross ND,Sunil Gedela,AFF,29,29
Vestavia Hills JH,Unionville DJ,Ryan Hemnarine,NEG,28,29
Southlake Carroll PK,Morrison KC,Ryan Hemnarine,AFF,29,29
Dougherty Valley KK,American Heritage Boca/Delray NT,Connor Engel,AFF,29,28
Oak Hall KZ,New Trier TS,Niko Battle,AFF,30,29
North Allegheny ED,Dulles NJ,,"AFF FFT																									NEG BYE","AFF FFT																									NEG BYE",
H.B. Plant TK,Baton Rouge PF,Jared Croitoru,AFF,30,28
Dulles AS,Durham JP,Luiz Bravim,NEG,30,30
Garland IR,Carmel Valley Independent JS,Scott Phillips,NEG,29,29
Hill NL,West Des Moines Valley CG,Chris Flowers,AFF,29,28
Northview SD,Stuyvesant GP,Tom Evnen,AFF,29,29
Poly Prep Country Day DB,Grapevine NM,Akum Kang,AFF,28,28
Quarry Lane MD,Harker SG,Sarah London,AFF,28,28
Bronx Science AW,Lake Highland Prep JA,Connor Engel,NEG,28,28
West Des Moines Valley AA,Cardinal Gibbons RS,Ishan Bhatt,AFF,28,28
William G. Enloe KH,Auburn MF,Mina Lee,AFF,28,28
Montgomery TD,American Heritage Boca/Delray DM,Vaishali Patil,NEG,29,30
American Heritage Plantation AD,Cypress Bay GB,Indu Pandey,AFF,28,28
Sage MP,Greenhill KD,Nathan Fleming,NEG,29,29
Charlotte Catholic DE,Harvard-Westlake AM,Bennett Eckert,NEG,29,29
Southlake Carroll TR,Northland Christian JQ,Chris Theis,AFF,29,29
Vestavia Hills RC,Cardinal Gibbons ZD,Chris Castillo,NEG,28,28
Calhoun AD,Baton Rouge CH,Megan Butt,NEG,26,28
Quarry Lane MS,Pembroke Pines Charter MC,Niko Battle,AFF,30,29
Madison Central SS,Providence AK,Vaishali Patil,NEG,29,30
Harvard-Westlake SK,Lexington SG,Raffi Piliero,NEG,29,29
Mountain Brook MC,Henry W Grady EH,Lauren Hince,AFF,29,28
Palm Harbor KG,Evanston Twp HE,Tom Evnen,NEG,29,29
Newark Science TO,Strath Haven WL,Sarah Roberts,AFF,28,28
Stuyvesant SP,North Mecklenburg PM,Sarah Roberts,AFF,28,28
Seven Lakes RR,Quarry Lane ZD,Dino De La O,NEG,29,29
Oak Grove NW,La Salle AS,David McGinnis,NEG,24,25
Woodrow Wilson CO,Ft Lauderdale EP,Crawford Leavoy,NEG,28,30
Northview YS,Houston County TH,Phoebe Kuo,AFF,28,28
New Trier IV,Cypress Bay HL,Megan Mapes,AFF,28,28
Los Altos PD,Chaminade  DB,Spencer Orlowski,NEG,29,30
Henry W Grady AS,Valdosta AK,Tim Stroud,NEG,28,28
Unionville KL,NSU SF,Kelly Schwab,NEG,29,30
Morrison EC,Lake Highland Prep AM,Brianna Aaron,NEG,28,29
University MW,Dulles SZ,SunHee Simon,AFF,30,28
Lexington EL,Needham SC,Stephen Scopa,AFF,29,29
Durham BD,William G. Enloe TG,Indu Pandey,NEG,29,29
North Allegheny AD,Needham ZL,Chris Flowers,NEG,29,29
Trinity Valley KK,Newark Science SB,Anthony Berryhill,AFF,30,30
Cardinal Gibbons AD,Valdosta JP,Dino De La O,AFF,28,28
Bronx Science NK,DuPont Manual PK,Spencer Orlowski,NEG,29,29
Little Rock Central JP,New Trier CS,Ethan Massa,NEG,28,28
Holy Cross TJ,Harvard-Westlake SM,Jared Croitoru,AFF,29,29
Success Academy Manhattan SB,Henry W Grady GR,Lynnea Zhang,NEG,29,29
Lake Highland Prep JD,Edgemont RG,Greg Zoda,NEG,29,29
Grapevine TT,Oak Grove LL,Manish Bhatta,AFF,28,27
Colleyville Heritage AB,Lassiter TR,Rachel Ding,AFF,30,29
Ft Lauderdale ST,West Des Moines Valley CF,Rachel Ding,NEG,28,29
Northland Christian ABr,Strake Jesuit  ZD,Nadia Hussein,NEG,30,30
Montgomery CD,William G. Enloe AC,Ethan Massa,NEG,28,29
La Salle TW,Northland Christian AB,Chris Theis,AFF,29,28
Lexington KY,Evanston Twp QH,Brianna Aaron,NEG,29,29
Santa Monica RE,Harrison GC,Ari Davidson,AFF,29,29
Isidore Newman LE,Shades Valley FO,Jacob Nails,NEG,28,28
Woodrow Wilson TM,American Heritage Plantation EM,Sunil Gedela,NEG,28,28
Strake Jesuit  JP,Dougherty Valley KD,Clay Stewart,NEG,29,30
Pembroke Pines Charter JD,King AK,Chris Castillo,NEG,29,29
DuPont Manual RP,Tompkins CW,Elijah Smith,NEG,28,28
