Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Harker RT,Denver East TH,Owen Sleigh,NEG,29,29
Bishop's Independent AC,Immaculate Heart FP,Tristan Shaughnessy,NEG,29,29
St Francis VS,Loyola JC,Khoa Pham,NEG,20,30
Harker MK,Oakwood BM,Ianna Zhu,AFF,27,28
Cypress Bay NB,BASIS San Antonio Shavano PK,Manveer Singh,NEG,26,30
Harker DS,Golden State KM,Charles Karcher,AFF,29,28
Mountain House ES,Harvard-Westlake JI,SunHee Simon,NEG,28,29
Quarry Lane MS,Presentation AG,David Rooney,AFF,29,29
Isidore Newman JH,Harvard-Westlake HM,Alina Wang,AFF,29,27
ModernBrain ML,Dougherty Valley SK,Charles Karcher,NEG,28,28
Albuquerque SR,Marlborough AW,David Rooney,AFF,29,29
Chaminade  DV,Dougherty Valley AP,Ajay Singh,NEG,28,29
Bellarmine  EG,Southlake Carroll TR,Spencer Paul,AFF,29,29
Harvard-Westlake JZ,Marlborough WR,Rodrigo Paramo,NEG,28,28
Fort Collins AL,Grand County TM,,"AFF BYE																									NEG BYE","AFF BYE																									NEG BYE",
St Francis SS,Brentwood LE,Michael Harris,NEG,28,29
Immaculate Heart MM,Newark Science SB,Pranav Chillappagari,NEG,29,29
Kinkaid SM,Peninsula CC,Nina Potischman,AFF,30,29
Brophy  CT,North Star IT,Sarah Roberts,NEG,28,29
Archbishop Mitty JP,Yerba Buena JG,Jack Coyle,AFF,29,28
NSU SF,Torrey Pines AG,Maya Sanghavi,AFF,29,27
Newark Science VA,St Francis MG,Jimi Morales,AFF,28,27
Nova 42 AM,Immaculate Heart SO,Shivane Sabharwal,AFF,28,28
Silver Creek VV,Golden State AW,Jake Keuhlen,NEG,30,26
Presentation NB,Loyola NT,Gabriel Gangoso,AFF,28,28
Peninsula AR,Dougherty Valley AR,Rishabh Krishnan,AFF,30,30
Fort Collins MR,Immaculate Heart JL,Michael Harris,NEG,28,29
Harker PG,Northwood HS,Sean Fahey,NEG,28,29
Lynbrook KD,Marlborough CL,David Escobar,NEG,28,29
Anderson BC,Loyola DB,Didi Barry,AFF,29,29
Raisbeck Aviation DR,Beckman CK,Lemar Karimi,AFF,29,28
Archbishop Mitty PK,Mountain House IV,Andrew Overing,NEG,28,29
Milpitas RP,Harvard-Westlake BC,Lisa Weber,AFF,30,28
Dougherty Valley NB,Marlborough JS,Julian Kuffour,NEG,29,29
Newark Science TO,Archer School for Girls JT,Mike Murray,AFF,28,28
Harker AG,Archbishop Mitty LK,Lena Mizrahi,NEG,28,29
Harvard-Westlake GM,Lynbrook KA,Noel Hayward,NEG,29,30
Presentation IC,Los Altos PD,Annabelle Long,NEG,28,29
St Francis LC,Archbishop Mitty JH,Viren Abhyankar,NEG,28,29
Cypress Bay IM,Harvard-Westlake GZ,SunHee Simon,NEG,28,29
Harker AD,Loyola BM,Julian Kuffour,NEG,29,29
Harvard-Westlake NR,Plano East NG,Sarah Roberts,AFF,30,29
Oakwood School - North Hollywood MC,Marlborough AK,Manav Rathod,NEG,28,28
Lynbrook RP,Fairview JZ,Nathaniel Clutter,AFF,30,25
Anderson MR,Harker SC,Ben Barov,NEG,28,28
Flintridge Prep AL,Harvard-Westlake AW,Jack Wareham,AFF,29,28
Cypress Bay GB,Langham Creek IM,Aidan Dykstal,AFF,28,28
Oakwood AR,Mission San Jose AB,Aidan Dykstal,NEG,27,28
Beaver AM,Harvard-Westlake CC,Ellen Ivens-Duran,NEG,28,29
Oak Hall KZ,Harvard-Westlake SM,Jyleesa Hampton,NEG,29,29
Albuquerque LN,Crescenta Valley AT,Joshua Chung,NEG,29,30
Newark Science CS,Harvard-Westlake SL,selena zhang,AFF,28,28
Harvard-Westlake MP,Nova 42 AY,Courtney Coffman,AFF,29,27
Peninsula VB,Foothill BF,Jimi Morales,NEG,27,29
Dougherty Valley KD,Loyola AP,Khoa Pham,AFF,30,29
Harker AR,Milpitas DY,Shankar Krishnan,AFF,28,28
Peninsula RM,Harker KM,David Escobar,NEG,29,29
Brentwood SR,Cypress Bay PS,Andrew Overing,AFF,28,28
Harvard-Westlake OF,Orange Lutheran AZ,Serena Lu,NEG,29,29
St Francis MR,Presentation MS,Alan Fishman,NEG,30,30
St Francis SCh,Isidore Newman DA,Mike Murray,NEG,28,28
Lynbrook AH,Segerstrom AN,Joshua Chung,NEG,28,30
Anderson AR,Lynbrook YM,Pranav Chillappagari,AFF,28,28
Fort Collins ZG,Harker ALe,Ianna Zhu,AFF,30,28
Sequoia AS,Mira Loma AT,Sailendra Mishra,NEG,28,28
Cristo Rey MD,Carter KM,Glenda Chang,NEG,23,28
Mission San Jose SS,Harker SS,Amanda Yang,NEG,29,29
Northland Christian LB,Ferris TR,Khamani Griffin,AFF,30,30
Loyola LH,Cypress Bay HL,Gabriel Gangoso,AFF,28,28
Lynbrook AI,St Francis KN,Sunita Kotapati,NEG,27,27
Saratoga IK,Silver Creek KZ,Debashis Pradhan,AFF,29,29
Santa Monica RE,Golden State SS,Manveer Singh,AFF,29,26
Peninsula OL,Mountain House SB,Nicole Dao,NEG,25,28
Kinkaid KG,Harvard-Westlake JG,Jacob Lugo,NEG,28,29
Torrey Pines JS,Silver Creek RN,Ansuman Bardalai,AFF,28,28
Foothill RW,Dougherty Valley SN,Ajay Singh,AFF,29,28
Harker NL,Brentwood HT,David Spingola,NEG,28,28
Brophy  BF,Dougherty Valley SB,Sean Fahey,NEG,29,29
Valley International Prep AC,St Francis TG,Glenda Chang,AFF,28,27
Marlborough ED,Nova 42 NC,Claudia Ribera,NEG,28,28
Westlake EE,Saratoga UK,Jack Coyle,AFF,29,28
Harker AC,St Francis AJ,Jordan Wang,AFF,26,26
Plano East WZ,Marlborough JH,Nick Montecalvo,NEG,29,29
Harvard-Westlake SK,Dougherty Valley AG,Rodrigo Paramo,AFF,29,29
Dougherty Valley AM,Immaculate Heart ZB,Ben Barov,AFF,28,28
Northland Christian ABr,Dougherty Valley ST,Lena Mizrahi,AFF,29,28
Buhach Colony MG,Archbishop Mitty AS,Jacob Lugo,NEG,27,28
ModernBrain GM,Harvard-Westlake LD,Margaret Strong,AFF,28,28
Brentwood MM,Valley International Prep MA,Annabelle Long,NEG,28,28
Brophy  SA,Harvard-Westlake SW,Jordan Wang,AFF,26,25
Marlborough ML,Palo Alto HS Independent EH,Vinay Maruri,NEG,28,28
Harker RM,Presentation HM,Didi Barry,AFF,29,28
Harvard-Westlake JH,St Francis AF,Kelly Shen,NEG,29,29
Northland Christian JQ,Brentwood HG,Maya Sanghavi,AFF,28,28
St Francis AB,Dougherty Valley KK,Jonathan Vu,NEG,28,28
St Francis AX,,,,,
