Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Beckman VS,Fairview HW,Nathaniel Clutter,NEG,28,29
Saratoga AG,Lynbrook AD,Tristan Shaughnessy,AFF,29,28
Quarry Lane ZD,Harker AK,Muhammad Khattak,AFF,29,28
Harker KB,BASIS Phoenix ZJ,Sarah Kim,NEG,29,29
Marlborough EY,Brentwood RY,Viren Abhyankar,AFF,29,29
Brentwood DL,Harvard-Westlake AL,Jyleesa Hampton,NEG,29,29
Damien ND,La Costa Canyon KK,Alina Wang,AFF,29,28
Sage MP,Harker DV,Shankar Krishnan,AFF,29,29
Beckman BC,Sanger MP,Arun Thaploo,NEG,28,28
Torrey Pines NK,Fairview DL,Vignesh Siva,NEG,26,26
Lincoln WG,Lynbrook SY,Muhammad Khattak,AFF,28,28
Quarry Lane MD,Immaculate Heart RR,Manav Rathod,NEG,28,28
Clovis North CH,Saratoga HH,Abhishek Jain,AFF,29,28
Dougherty Valley AMa,Milpitas AK,Lemar Karimi,AFF,29,28
Lynbrook AJ,Immaculate Heart LB,Anusha Thotakura,AFF,28,25
Harker KMa,Harvard-Westlake AM,Jack Wareham,NEG,28,30
Oakwood School - North Hollywood WA,Quarry Lane VG,,"AFF BYE																									NEG FFT","AFF BYE																									NEG FFT",
Harvard-Westlake IM,Loyola SN,Nina Potischman,NEG,29,29
Ferris ML,Cypress Bay OBr,Sunita Kotapati,AFF,28,28
Davis Senior CZ,Golden State EC,Jonathan Vu,NEG,27,27
Archbishop Mitty JL,Cherry Creek SZ,Nick Montecalvo,AFF,29,28
Lynbrook ZU,Peninsula HC,Nicole Dao,AFF,29,27
Harvard-Westlake JIm,Menlo-Atherton SC,Shivane Sabharwal,AFF,29,29
Northwood NA,Presentation RD,Arun Thaploo,NEG,28,28
Brentwood SH,La Costa Canyon EN,Alan Fishman,AFF,30,30
Fairview EH,Loyola BC,Rishabh Krishnan,NEG,28,29
Harker MH,Northland Christian AB,Amanda Yang,AFF,29,29
Harvard-Westlake IC,Coeur D'Alene CB,Courtney Coffman,AFF,28,26
Peninsula ID,Brentwood JC,Madeleine Conrad-Mogin,NEG,28,28
Harker NA,Lincoln AW,Elise Matton,NEG,28,29
Menlo-Atherton SN,Dougherty Valley SP,Madeleine Conrad-Mogin,AFF,28,28
Immaculate Heart BC,Harker AM,Sarah Kim,AFF,29,29
Dougherty Valley PC,Brentwood JK,Jake Keuhlen,NEG,26,27
Lynbrook AM,Harker AL,Ansuman Bardalai,AFF,28,28
Torrey Pines LL,Dougherty Valley AGo,Vinay Maruri,NEG,28,29
Harker AS,Bellarmine  KS,Claudia Ribera,AFF,29,28
Harvard-Westlake AG,Peninsula JN,Ellen Ivens-Duran,AFF,30,29
Northland Christian EN,Southlake Carroll PK,Margaret Strong,NEG,28,29
