Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Peninsula AR,Southlake Carroll EP,Ethan Elasky,AFF,29,29
Immaculate Heart BC,West Des Moines Valley MM,Chris Castillo,AFF,29,28
Bronx Science LM,Peninsula HC,Joanne Park,AFF,29,28
Mission San Jose AB,Carmel Valley Independent AK,Rex Evans,AFF,29,28
Loyola BM,Lexington BF,Asher Towner,NEG,29,29
Eagan JS,Immaculate Heart RR,Mark Kivimaki,NEG,28,28
West HS SLC AK,Troy Independent AP,Connor Lindquist,NEG,28,30
Strake Jesuit  LWa,Edina AV,SunHee Simon,NEG,28,28
Hamilton High Independent NB,Coppell VS,Kathy Wang,NEG,29,29
Mission San Jose AW,STA/Vis IB,Rahil Modi,AFF,28,28
Lexington AMa,Harrison EM,Daniel Shatzkin,AFF,28,28
Strake Jesuit  VC,Southlake Carroll SD,Ronak Ahuja,AFF,29,29
Lake Highland Prep AV,Strake Jesuit  JG,Sally Ho,AFF,30,30
Scarsdale BS,St Michael Albertville RH,,"AFF BYE																									NEG FFT","AFF BYE																									NEG FFT",
Loyola SN,Apple Valley JS,Cort Sylvester,AFF,29,28
Strake Jesuit  JS,Harrison GC,Saianurag Karavadi,NEG,29,29
Byram Hills EW,Strath Haven AM,Taman Kanchanapalli,NEG,30,30
Hopkins ET,Quarry Lane MD,Skye Spindler,NEG,28,28
Appleton North MU,Strake Jesuit  JK,Michael Kurian,AFF,30,29
North Mecklenburg PM,Bergen County Academies AK,Ryan Davis,AFF,29,29
Scarsdale KS,Harrison AA,Jayanne Forrest,NEG,29,30
Plano Independent NG,Mission San Jose SS,Mike Girouard,NEG,29,30
Byram Hills MW,Carmel Valley Independent SZ,Kirtan Patel,NEG,28,28
Dulles AS,Eagan BT,Ben Lampman,AFF,29,29
Southlake Carroll PK,Immaculate Heart JL,Peter Zhang,NEG,29,30
New Trier IV,Dulles SZ,Aryan Jasani,NEG,29,29
Edina LH,Lexington JC,Annabelle Long,NEG,29,29
Dougherty Valley TM,Brentwood SR,Tarun Ratnasabapathy,AFF,29,29
Coppell VN,Carmel Valley Independent KW,Zoella Lin,NEG,28,28
Millard North SL,Evergreen Valley SS,Chetan Hertzig,NEG,28,29
Lincoln East PS,Eden Prairie AGa,Alex Zhao,NEG,28,28
Lexington MS,Bronx Science YL,Carly Rieger,AFF,29,28
Dulles CS,Greenhill AA,,"AFF FFT																									NEG BYE","AFF FFT																									NEG BYE",
Lexington CH,Millard North NL,Animesh Joshi,AFF,29,28
Apple Valley NB,Greenhill VG,Miguel Harvey,NEG,28,29
St Croix Prep AD,Rosemount TA,David DeGrood,NEG,29,30
St Michael Albertville AB,Immaculate Heart FP,River Cook,NEG,29,29
Strake Jesuit  VM,Eastside Independent ML,Kevin Wang,AFF,29,29
Carmel Valley Independent MN,Northland Christian LB,Kavin Kumaravel,NEG,28,29
Carnegie Vanguard LS,Legacy Christian BP,Jenn Melin,NEG,29,30
Harker RT,Lake Highland Prep DP,Josh You,AFF,29,28
Iowa City West JS,Westlake AK,Amelia Ritenour,NEG,29,30
Harker AR,McNeil AR,Rodrigo Paramo,AFF,29,29
Saratoga AG,Immaculate Heart ZB,Samir Mohsin,AFF,30,29
Dulles TY,West Des Moines Valley JW,Sachin Shah,NEG,29,29
Carnegie Vanguard TM,Lynbrook AH,Tej Gedela,NEG,29,29
West Des Moines Valley TH,Immaculate Heart LB,Sam Anderson,AFF,28,27
Apple Valley DG,Harrison MB,,"AFF FFT																									NEG BYE","AFF FFT																									NEG BYE",
Bettendorf NR,Chanhassen AN,Wyatt Hatfield,NEG,29,29
West Des Moines Valley KC,Lexington AR,Scott Klein,AFF,28,28
Rosemount CP,Loyola DB,Kenan Anderson,AFF,28,29
Strake Jesuit  BE,Carnegie Vanguard SR,Patrick Fox,AFF,29,29
West Des Moines Valley CF,Elkins AM,Vincent Liu,NEG,28,28
Dowling Catholic JP,Northern Valley HS Independent JS,Jack Quisenberry,AFF,29,29
Marlborough ER,Iowa City West NW,Calvin Tyler,NEG,28,29
West HS SLC HZ,Evergreen Valley Independent DT,,"AFF BYE																									NEG FFT","AFF BYE																									NEG FFT",
Loyola LH,Edina MK,Anthony Berryhill,AFF,29,28
Durham VW,Greenhill KD,Skyler Harris,NEG,29,29
Acton-Boxborough BH,Murphy Independent AW,Chris Thiele,NEG,28,28
West Des Moines Valley SJ,Northview YS,Muhammad Khattak,NEG,28,29
Harker DS,Strake Jesuit  KS,Favian Sun,NEG,29,29
Scarsdale CS,Strake Jesuit  DA,Tate Weston,AFF,29,29
Lake Highland Prep KS,Olympia OE,Dennis Tang,AFF,30,26
Carmel Valley Independent ED,Eagan AI,Michael Harris,NEG,28,29
St Croix Prep ADe,Rosemount AO,Carlos Astacio,AFF,28,28
McNeil AG,Houston Memorial DX,James Stuckert,NEG,28,29
Peninsula RM,Marlborough WR,Danielle Dosch,AFF,29,29
Northview SD,Strake Jesuit  MS,Cyprian Dumas,AFF,29,30
