Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Eagan VPa,Greenhill RM,Clement Agho-Otoghile,NEG,28,28
BASIS Independent Silicon Valley Independent SK,Lincoln East EB,Kris Kaya,NEG,28,28
Lynbrook KD,Lake Highland Prep YA,Joshua Porter,NEG,29,29
Thomas Horace Rogers JW,Bronx Science NK,T.J. Maher,AFF,29,29
Durham AA,Dougherty Valley AG,Jacob Nails,NEG,28,28
Eagan AC,L C Anderson AR,Sam Greenwald,NEG,29,30
Milton Acad AT,Peninsula SM,Arya Goel,AFF,29,29
Riverside KS,,,,,
Success Academy HS - Liberal Arts SB,Scarsdale JT,Kyle Kopf,NEG,29,29
Byram Hills SH,Lake Highland Prep AS,Adam Astrachan,AFF,29,28
Millard North RL,Carnegie Vanguard CC,Holden Bukowsky,AFF,29,28
Southlake Carroll CC,Bronx Science DB,Cameron McConway,NEG,29,29
Greenhill KM,Oxford VM,Nathan Fleming,AFF,29,29
Greenhill NT,Mission San Jose SB,Heaven Montague,AFF,30,30
Harrison SN,Northwood (Independent) RH,,"AFF BYE																									NEG FFT","AFF BYE																									NEG FFT",
Dutchtown HV,L C Anderson BC,Gray Graves,AFF,29,29
Portola AS,Dougherty Valley AM,Bennett Eckert,AFF,28,28
Lexington VM,Flintridge Prep TV,Arthur Wayne,NEG,29,29
Mission San Jose SR,Stanford Online MB,Michael Landau,AFF,29,29
Loyola BC,Lexington AKu,Kristen Arnold,NEG,30,30
Needham VF,Dulles RB,Christian Quiroz,AFF,29,29
