Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Dulles AS,North Mecklenburg PM,Rex Evans,AFF,29,28
Bronx Science LM,West Des Moines Valley SJ,James Stuckert,AFF,29,29
Northland Christian LB,Strake Jesuit  MS,River Cook,AFF,29,29
Flintridge Prep TV,St Croix Prep ADe,Sam Anderson,AFF,28,28
Lake Highland Prep AS,Dulles TY,Joshua Porter,NEG,29,29
Carmel Valley Independent KW,Scarsdale KS,Vincent Liu,NEG,28,29
Hamilton High Independent NB,Acton-Boxborough BH,Tej Gedela,NEG,29,29
Millard North RL,Carnegie Vanguard LS,Chetan Hertzig,AFF,28,28
Carmel Valley Independent SZ,Strake Jesuit  KS,Jack Quisenberry,NEG,28,29
Northwood (Independent) RH,,,AFF FFT,AFF FFT,
Northern Valley HS Independent JS,Eagan BT,Ryan Davis,AFF,29,28
Scarsdale CS,Westlake AK,Gray Graves,AFF,29,29
Dougherty Valley TM,Greenhill KD,Mike Girouard,NEG,29,30
L C Anderson BC,Carnegie Vanguard TM,Animesh Joshi,NEG,29,29
Lake Highland Prep KS,Southlake Carroll CC,Ronak Ahuja,AFF,29,29
Needham VF,Lincoln East PS,Taman Kanchanapalli,AFF,29,29
Houston Memorial DX,Brentwood SR,Michael Harris,NEG,28,29
West Des Moines Valley MM,Peninsula AR,Connor Lindquist,NEG,29,30
Bettendorf NR,Dutchtown HV,Aaron Timmons,NEG,28,29
Millard North SL,Harrison SN,Michael Kurian,AFF,29,29
Carmel Valley Independent AK,Evergreen Valley SS,Mark Kivimaki,NEG,28,28
Eagan JS,Apple Valley JS,Mia Berman,NEG,28,28
Apple Valley DG,Strake Jesuit  JG,Carly Rieger,NEG,28,30
West Des Moines Valley TH,Lexington BF,Sally Ho,NEG,29,29
Dulles CS,Marlborough WR,Kenan Anderson,NEG,25,30
Coppell VN,Apple Valley NB,Carlos Astacio,NEG,28,28
West Des Moines Valley CF,Murphy Independent AW,Saianurag Karavadi,NEG,28,29
Peninsula SM,Harker AR,Danielle Dosch,NEG,29,29
Lexington MS,Iowa City West JS,Katie Raphaelson,NEG,29,29
Dulles SZ,Plano Independent NG,Cameron McConway,NEG,29,29
Northview YS,Rosemount AO,Claire Kueffner,AFF,28,28
Strath Haven AM,Greenhill AA,Rushil Mehta,NEG,28,28
Greenhill NT,Strake Jesuit  JK,Miguel Harvey,AFF,29,29
Olympia OE,Immaculate Heart LB,Samir Mohsin,AFF,28,28
Eden Prairie AGa,Harrison GC,Krishna Agrawal,NEG,29,30
Immaculate Heart FP,Northview SD,Chris Castillo,NEG,29,29
Quarry Lane MD,Eagan VPa,Anthony Berryhill,AFF,30,28
Chanhassen AN,Stanford Online MB,T.J. Maher,NEG,28,28
Peninsula HC,Lexington AR,Charles Karcher,NEG,28,28
New Trier IV,Peninsula RM,Chris Thiele,NEG,28,29
Edina LH,Evergreen Valley Independent DT,Jayanne Forrest,AFF,29,29
St Croix Prep AD,Dougherty Valley AM,Zoella Lin,NEG,28,28
Greenhill KM,Lake Highland Prep DP,Arya Goel,AFF,29,28
Mission San Jose AB,Durham AA,Calvin Tyler,NEG,29,29
Bronx Science YL,Greenhill VG,Daniel Shatzkin,NEG,30,30
Troy Independent AP,Southlake Carroll SD,Nathan Fleming,NEG,29,29
Loyola LH,Mission San Jose SB,Amelia Ritenour,AFF,29,29
Loyola SN,Isidore Newman AH,Anna Farronay,AFF,29,29
Success Academy HS - Liberal Arts SB,Bronx Science NK,Christian Quiroz,NEG,29,29
Thomas Horace Rogers JW,Scarsdale BS,Wyatt Hatfield,AFF,28,28
Lake Highland Prep YA,Loyola BC,Bennett Eckert,NEG,29,29
Lexington AMa,Portola AS,Michael Landau,NEG,28,29
Durham VW,Strake Jesuit  LWa,Patrick Fox,NEG,28,29
Carnegie Vanguard CC,McNeil AR,Tate Weston,NEG,28,29
Mission San Jose AW,Harker DS,Kris Kaya,NEG,28,29
Mission San Jose SS,Byram Hills MW,Muhammad Khattak,AFF,29,28
West Des Moines Valley KC,Houston Memorial YB,,"AFF BYE																									NEG FFT","AFF BYE																									NEG FFT",
Bronx Science DB,Lexington CH,Scott Klein,AFF,29,29
Immaculate Heart JL,Edina AV,Shikhar Srivastava,AFF,30,29
Appleton North MU,Edina MK,Skyler Harris,AFF,29,29
Southlake Carroll EP,BASIS Independent Silicon Valley Independent SK,Annabelle Long,AFF,29,28
Bergen County Academies AK,St Michael Albertville AB,Adam Astrachan,AFF,30,28
Southlake Carroll PK,Elkins AM,Kavin Kumaravel,AFF,29,28
West HS SLC HZ,St Michael Albertville RH,,"AFF BYE																									NEG FFT","AFF BYE																									NEG FFT",
Harrison MB,Dulles RB,Megha Prasad,NEG,29,30
Harrison AA,Legacy Christian BP,Dennis Tang,AFF,29,30
Immaculate Heart BC,Mission San Jose SR,Aayush Patel,NEG,29,29
Harker RT,Strake Jesuit  VC,Kevin Wang,NEG,29,29
Lake Highland Prep AV,Rosemount TA,Kirtan Patel,AFF,29,29
McNeil AG,Immaculate Heart ZB,Ethan Elasky,NEG,29,29
Iowa City West NW,Carmel Valley Independent MN,Sarah Kim,NEG,28,29
Lynbrook AH,West Des Moines Valley JW,Asher Towner,NEG,28,28
Strake Jesuit  BE,Lynbrook KD,Favian Sun,AFF,30,30
Hopkins ET,Rosemount CP,RJ Willson,AFF,29,28
Harrison EM,Carnegie Vanguard SR,Jaya Dayal,NEG,28,29
Byram Hills SH,Dougherty Valley AG,SunHee Simon,NEG,28,29
Dowling Catholic JP,Lexington VM,Aryan Jasani,NEG,29,30
Riverside KS,Lexington AKu,Arthur Wayne,NEG,29,29
Greenhill RM,Lexington JC,Kristen Arnold,NEG,28,29
Loyola DB,Byram Hills EW,Cort Sylvester,AFF,29,28
Immaculate Heart RR,Oxford VM,Alex Zhao,NEG,29,29
Scarsdale JT,Loyola BM,Joanne Park,NEG,28,29
Carmel Valley Independent ED,Lincoln East EB,Tarun Ratnasabapathy,AFF,28,28
Eagan AI,West HS SLC AK,Jacob Nails,AFF,29,28
Marlborough ER,Saratoga AG,Rodrigo Paramo,NEG,28,29
Strake Jesuit  VM,Millard North NL,Holden Bukowsky,AFF,29,29
STA/Vis IB,Strake Jesuit  JS,,"AFF FFT																									NEG BYE","AFF FFT																									NEG BYE",
L C Anderson AR,Eastside Independent ML,Sekou Cisse,NEG,28,28
Coppell VS,Milton Acad AT,Abhi Elisetty,AFF,28,28
Strake Jesuit  DA,Eagan AC,Jenn Melin,AFF,29,29
