Aff,Neg,Judge,Result
Presentation MS,Dougherty Valley SK,Julian Kuffour,NEG
BASIS Peoria PY,Ardrey Kell GS,Nae Edwards,NEG
BASIS Peoria VP,Greenhill VX,Garrett Bishop,NEG
American Heritage Boca/Delray DM,Acton-Boxborough BH,Ishan Rereddy,NEG
Scarsdale OL,Marlborough ED,David Edwards,AFF
Harker AS,Greenhill KD,Adam Torson,NEG
McDowell SA,Minnetonka MW,Tom Vandenburg,AFF
New Trier CS,Dougherty Valley KZ,Raul Larsen,NEG
Flintridge Prep TV,BASIS Phoenix ZJ,Rodrigo Paramo,NEG
West HS SLC HZ,Summit JC,Vishnu Vennelakanti,AFF
Wilcox KM,Apple Valley NB,Joanne Park,AFF
Interlake DB,Apple Valley JS,Bennett Eckert,NEG
Bronx Science ES,Dougherty Valley NY,Raul Larsen,AFF
Mission San Jose SS,McNeil AG,Scott Phillips,NEG
Iowa City West JS,Quarry Lane MD,Emmiee Malyugina,NEG
Flintridge Prep MC,Vestavia Hills GJ,Danielle Dosch,NEG
Dougherty Valley KK,Iowa City West HM,Alexandra Mork,AFF
Northview NN,Dougherty Valley DC,Robert Zheng,AFF
Harrison AA,Harker AM,Zoella Lin,AFF
Presentation NB,McDowell AG,Eunice Jung,AFF
Southlake Carroll CC,West Des Moines Valley AM,Tajaih Robinson,NEG
Greenhill RM,Edina LH,Chetan Hertzig,AFF
Claudia Taylor Johnson AP,Houston Memorial DX,Sesh Joe,NEG
Little Rock Central DS,Apple Valley MA,Joseph Barquin,NEG
Dowling Catholic JP,American Heritage Plantation MC,Michael O'Krent,AFF
Hunter AI,American Heritage Plantation SS,Tom Evnen,NEG
Strake Jesuit  JG,Dougherty Valley TM,kirtan patel,AFF
Harker AD,American Heritage Plantation MA,Annabelle Long,AFF
Harrison EM,La Salle MQ,Sierra Romero,NEG
West Des Moines Valley SJ,Southlake Carroll AS,Nick Smith,NEG
Lexington JC,Northview SD,Andrew Lee,NEG
Lynbrook KD,Interlake EL,Stephen Scopa,NEG
Plano East NGo,North Allegheny RR,Aniruth Narayanan,NEG
Plano West DJ,Bronx Science NK,Tate Weston,AFF
Cypress Bay OB,Immaculate Heart RR,Rinku Kapoor,AFF
Lexington DY,Sage Hill MP,Indu Pandey,NEG
Milton AT,Appleton North MU,Jerome Nashed,NEG
Harrison AC,Immaculate Heart FP,kirtan patel,NEG
Harvard-Westlake GZ,Evanston Twp SB,Chris Castillo,AFF
Peninsula AR,Lynbrook AH,Rex Evans,AFF
Munster AM,Peninsula SM,,"AFF FFT																									NEG BYE"
Bronx Science LM,Lake Highland Prep MS,Tate Weston,NEG
Ardrey Kell SR,Durham AAn,River Cook,NEG
