Aff,Neg,Judge,Result
Nashua HS South EG,Interlake AS,Lawrence Zhou,NEG
St Michael Albertville CS,Strake Jesuit  DL,Holden Bukowsky,AFF
Albuquerque AK,Iowa City West NW,Calvin Tyler,NEG
Mission San Jose AB,Albuquerque LN,Tajaih Robinson,AFF
Riverside KS,Interlake AG,Christian Hilgemann,AFF
Scarsdale AK,Lake Highland Prep AM,James Stuckert,AFF
West HS SLC TC,Presentation RD,Ashley Howden,NEG
Lexington AK,Lake Highland Prep PS,Lawrence Zhou,AFF
Lexington AL,Strake Jesuit  ZD,Muhammad Khattak,AFF
Strake Jesuit  DH,Scarsdale ZS,Aniruth Narayanan,AFF
North Allegheny NS,Westlake AK,Lindsey Perlman,NEG
Immaculate Heart JL,Archbishop Mitty AB,Alex Zhao,AFF
Marlborough JH,Harvard-Westlake JH,Jacob Nails,AFF
Archbishop Mitty AA,Princeton TK,Anna Myers,NEG
Marlborough ML,Northview YS,Nick Mirza,NEG
Minnetonka SW,Presentation NR,Aidin O'Brien,NEG
Strath Haven AM,Catonsville AT,Jasmine Stidham,AFF
Archbishop Mitty AS,Greenhill VG,Julian Kuffour,NEG
Immaculate Heart AW,Vestavia Hills RB,David Yi,NEG
Greenhill AA,West Des Moines Valley KC,Chris Castillo,AFF
Interlake TY,Hunter MD,Martin Csongradi,AFF
Cypress Bay PS,Park City NL,Mark Ahlstrom,NEG
Strake Jesuit  BE,Southlake Carroll PK,Patrick Tolan,AFF
Albuquerque NP,Chanhassen AN,Kyle Kopf,NEG
Lake Highland Prep AC,BASIS Peoria DS,Elizabeth Sperti,AFF
American Heritage Plantation PG,Westlake EA,,"AFF FFT																									NEG BYE"
Harrison GC,Harker RM,River Cook,AFF
Charlotte Latin VD,St Francis KC,Mia Berman,AFF
Houston Memorial KX,Durham SS,Joseph Barquin,NEG
American Heritage Plantation NR,Harker AR,Tom Evnen,NEG
Harrison RA,Lindale PP,Hunter Harwood,AFF
Harvard-Westlake AG,American Heritage Plantation EM,Jack Quisenberry,NEG
Edina MK,Lexington AT,Jayanne Forrest,NEG
Lexington AG,Marlborough JS,David Dosch,NEG
Houston Memorial SC,Southlake Carroll SD,Peter Zhang,AFF
NSU SF,Marlborough WR,Andrew Torrez,AFF
Bettendorf NR,Immaculate Heart SS,Sam Anderson,NEG
BASIS Phoenix GV,Greenhill NT,David Edwards,NEG
STA/Vis IB,Houston Memorial BD,Jason Smith,NEG
West HS SLC AK,BASIS Peoria AM,David Yi,NEG
McDowell SZ,North Mecklenburg PM,Nelson Okunlola,NEG
Mission San Jose AA,West Des Moines Valley MM,Joanne Park,NEG
West Des Moines Valley CF,Interlake HB,Sam Anderson,AFF
Eagan AI,Lake Highland Prep AV,Trent Gilbert,AFF
Peninsula RM,Strake Jesuit  VM,Zoella Lin,AFF
Houston Memorial YB,Westlake FD,Nelson Okunlola,NEG
Mission San Jose SR,Harvard-Westlake IC,Brendon Morris,AFF
Little Rock Central LM,Harker DS,jackson hanna,NEG
